rectype,sha,ins_del_count,issueid,actor,date,text,similarity
pull_request_commit,b6d196502767e8e8f473044151f201c4e1e317b0,118,1024,franz.liem,2016-02-26 15:27:28,format fixes,NA
pull_request_commit_comment,NA,NA,1024,GaelVaroquaux,2016-02-26 15:18:42,"Your lines are definitely long than 79 chars :)
",0.5988783548799492
pull_request_commit_comment,NA,NA,1024,GaelVaroquaux,2016-02-26 15:27:20,"Do you need the ""np.array"" here? If so, we need to fix add_markers.
",0.5473680259826326
pull_request_commit_comment,NA,NA,1024,GaelVaroquaux,2016-02-26 15:19:45,"Could you call this pcc_coords please
",0.5057216854359938
pull_request_commit_comment,NA,NA,1024,GaelVaroquaux,2016-02-26 15:22:01,"Can you make the line below the title as long as the text (to be valid restructured text).
",0.44713305130453085
 , , , , , , , 
 , , , , , , , 
pull_request_commit,59442085239832e1e622d1ff390746666391c572,96,1028,mjboos,2016-02-27 22:05:24,"Added plots of the stimuli, changed description and fixed pep8 violations",NA
pull_request_commit_comment,NA,NA,1028,GaelVaroquaux,2016-02-27 13:01:36,"Do we need the ""symmetric_cbar=False""
",0.7588738153866144
pull_request_commit_comment,NA,NA,1028,aabadie,2016-02-27 12:54:01,"MultiNiftiMas_k_er
",0.602168103631755
pull_request_commit_comment,NA,NA,1028,GaelVaroquaux,2016-02-27 12:51:54,""": the data after the first twelve files""
",0.5433670037131789
pull_request_commit_comment,NA,NA,1028,GaelVaroquaux,2016-02-27 12:57:54,"Can we not use scikit-learn's cross_val_score?
",0.5178394551241605
pull_request_commit_comment,NA,NA,1028,GaelVaroquaux,2016-02-27 13:03:16,"PEP8: space after ','
",0.4551880645994715
pull_request_commit_comment,NA,NA,1028,GaelVaroquaux,2016-02-27 12:59:44,"Well, no, actually, we should be able to combine that cell with the one after and use cross_val_score, no?
",0.4077266194640401
 , , , , , , , 
 , , , , , , , 
pull_request_commit,a383ede0b04d941b1b119be6c8e96dfa449da475,47,1028,mjboos,2016-02-28 00:08:45,rephrased description and comments,NA
pull_request_commit_comment,NA,NA,1028,GaelVaroquaux,2016-02-27 13:01:36,"Do we need the ""symmetric_cbar=False""
",0.8806073164753867
pull_request_commit_comment,NA,NA,1028,GaelVaroquaux,2016-02-27 13:03:16,"PEP8: space after ','
",0.7175851234799359
pull_request_commit_comment,NA,NA,1028,aabadie,2016-02-27 12:54:01,"MultiNiftiMas_k_er
",0.6821747371419663
pull_request_commit_comment,NA,NA,1028,GaelVaroquaux,2016-02-27 13:09:58,"PEP8: space after coma
",0.681920686799213
